0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
0.0,14.0272,12.197799999999999,14.6357,52.711,15.2094,15.768600000000001,79.483,12.197799999999999,11.498700000000001,16.181,29.4143,12.197799999999999,16.664,79.1375,77.0643,12.197799999999999,12.5038,7.5626999999999995,7.5626999999999995,12.197799999999999,11.498700000000001,12.197799999999999,12.197799999999999,14.1175,18.302400000000002,12.5038,11.0991,78.0498,17.5625,9.6558,7.9273,79.483,12.325899999999999,11.7389,77.0643
15.9201,0.0,21.9435,8.8333,62.4515,10.101899999999999,10.2273,89.2235,21.9435,21.244400000000002,6.3862,39.16,21.9435,9.0328,88.8832,86.80489999999999,21.9435,5.7616000000000005,7.6703,7.6703,21.9435,21.244400000000002,21.9435,21.9435,0.6871,28.048099999999998,5.7616000000000005,4.388199999999999,87.7903,27.3082,6.4544,6.5927,89.2235,3.1134,5.0869,86.80489999999999
9.4705,21.7333,0.0,22.341900000000003,51.1578,22.9155,23.474700000000002,67.15,0.0,2.929,16.862299999999998,16.2784,0.0,24.370099999999997,66.00160000000001,67.79769999999999,0.0,20.21,15.268799999999999,15.268799999999999,0.0,2.929,0.0,0.0,21.8236,7.1712,20.21,18.8053,67.01039999999999,22.7988,17.361900000000002,15.6334,67.15,20.0321,19.445,67.79769999999999
16.9857,7.6308,23.009,0.0,63.5171,1.8737000000000001,2.4329,90.2891,23.009,22.309900000000003,9.8256,40.2255,23.009,3.3283,89.9488,87.87039999999999,23.009,8.445799999999998,8.7358,8.7358,23.009,22.309900000000003,23.009,23.009,7.721100000000001,29.113599999999998,8.445799999999998,7.0725,88.85589999999999,28.3737,7.52,7.6583000000000006,90.2891,5.9295,3.4846,87.87039999999999
47.5835,55.604699999999994,44.5727,56.213300000000004,0.0,56.7869,57.3461,27.1368,44.5727,47.5017,57.7585,39.454699999999995,44.5727,58.2415,28.6642,24.7181,44.5727,54.0814,49.1402,49.1402,44.5727,47.5017,44.5727,44.5727,55.695,41.884699999999995,54.0814,52.6767,25.703599999999998,49.692800000000005,51.2333,49.5048,27.1368,53.9035,53.3164,24.7181
14.9511,8.982899999999999,20.974400000000003,1.7742,61.4824,0.0,2.002,88.2545,20.974400000000003,20.275299999999998,11.177700000000002,38.1909,20.974400000000003,2.8974,87.9141,85.8358,20.974400000000003,9.7979,6.7974,6.7974,20.974400000000003,20.275299999999998,20.974400000000003,20.974400000000003,9.0732,27.079,9.7979,8.4246,86.82130000000001,26.3391,8.8721,9.010399999999999,88.2545,7.2816,4.849600000000001,85.8358
14.7274,10.0749,20.750799999999998,2.7435,61.2588,1.8447,0.0,88.0308,20.750799999999998,20.051599999999997,12.2697,37.9673,20.750799999999998,2.4057,87.6905,85.6122,20.750799999999998,10.889899999999999,6.5738,6.5738,20.750799999999998,20.051599999999997,20.750799999999998,20.750799999999998,10.1652,26.855400000000003,10.889899999999999,9.5166,86.5976,26.1154,9.9641,6.9384,88.0308,8.373700000000001,5.9288,85.6122
75.8449,88.1077,67.9423,88.7162,27.041400000000003,89.28989999999999,89.8491,0.0,67.9423,67.5689,81.3609,50.9349,67.9423,90.7445,1.5275,2.8592,67.9423,83.5187,81.6432,81.6432,67.9423,67.5689,67.9423,67.9423,88.198,62.483,83.5187,85.17960000000001,1.3207,81.40310000000001,83.7363,82.0078,0.0,86.40639999999999,85.81939999999999,2.8592
9.4705,21.7333,0.0,22.341900000000003,51.1578,22.9155,23.474700000000002,67.15,0.0,2.929,16.862299999999998,16.2784,0.0,24.370099999999997,66.00160000000001,67.79769999999999,0.0,20.21,15.268799999999999,15.268799999999999,0.0,2.929,0.0,0.0,21.8236,7.1712,20.21,18.8053,67.01039999999999,22.7988,17.361900000000002,15.6334,67.15,20.0321,19.445,67.79769999999999
8.905299999999999,21.1681,3.142,21.7767,57.109199999999994,22.3503,22.9095,69.2261,3.142,0.0,16.486900000000002,18.3545,3.142,23.8049,68.0777,69.8738,3.142,18.6447,14.7036,14.7036,3.142,0.0,3.142,3.142,21.2584,7.2426,18.6447,18.240099999999998,69.0865,24.703400000000002,16.7967,15.068200000000001,69.2261,19.466900000000003,18.8798,69.8738
