,Client_ID,ordered_boxes,ordered_volume,date,region,Center_ID,Latitude_CD,Longitude_CD,Latitude_Client,Longitude_Client,cluster_id,Assigned_CD
26183,12234373,59.3333333,4.48559999748,2025-03-19,Centro,AV04,5.807142,-73.006556,5.724125008,-72.9228974,1,AV04
26184,12234375,17.0,1.2852,2025-03-26,Centro,AV04,5.807142,-73.006556,5.718851503,-72.9396705,1,AV04
26185,12234474,3.25,0.2457,2025-03-28,Centro,AV26,4.596453,-74.148856,4.5441297,-74.09400975,6,AV26
26186,12234490,64.6666666,4.888799994959999,2025-03-18,Centro,AV47,4.541264,-74.251706,4.621772507,-74.19632453,6,AV26
26187,12234494,21.0,1.5876000000000001,2025-03-08,Centro,AV47,4.541264,-74.251706,4.576110723,-74.24546115,6,AV47
26188,12234688,401.0,30.3156,2025-03-10,Centro,AV50,4.742992,-74.164592,4.71215827,-74.13634003,0,AV50
26189,12234700,60.1666667,4.54860000252,2025-03-13,Centro,AV42,5.544456,-73.352553,5.52925,-73.3696,4,AV42
26190,12234715,115.77000000000001,8.752212,2025-03-08,Centro,AV50,4.742992,-74.164592,4.712486342,-74.21276873,8,AV50
26191,12234754,86.02000000000001,6.503112,2025-03-25,Centro,AV26,4.596453,-74.148856,4.54334,-74.1154,6,AV26
26192,12234762,7.52,0.568512,2025-03-28,Centro,AV26,4.596453,-74.148856,4.44278,-74.0429,6,AV26
26193,12234765,124.0,9.3744,2025-03-29,Centro,AV06,4.946467,-73.941175,4.76688716,-74.0252024,0,AV26
26194,12234774,26.25,1.9845000000000002,2025-03-21,Centro,AV26,4.596453,-74.148856,4.54264977,-74.08458443,6,AV26
26195,12234821,28.22,2.133432,2025-03-23,Centro,AV42,5.544456,-73.352553,5.51811,-73.3701,4,AV42
26196,12234832,25.79,1.949724,2025-03-22,Centro,AV47,4.541264,-74.251706,4.3481214,-74.3576959,3,AV47
26197,12234833,49.2066667,3.7200240025199998,2025-03-07,Centro,AV47,4.541264,-74.251706,4.276753,-74.386214,3,AV47
26198,12234868,59.269999999999996,4.480812,2025-03-01,Centro,AV50,4.742992,-74.164592,4.705744521,-74.08932742,0,AV50
26199,12234888,146.41666659999999,11.06909999496,2025-03-01,Centro,AV06,4.946467,-73.941175,5.047793,-73.944745,9,AV06
26200,12235175,61.5833333,4.65569999748,2025-03-05,Centro,AV42,5.544456,-73.352553,5.5434,-73.3664,4,AV42
26201,12235179,79.0,5.9724,2025-03-15,Centro,AV04,5.807142,-73.006556,5.997761,-72.691585,5,AV04
26202,12235241,18.0,1.3608,2025-03-17,Centro,AV42,5.544456,-73.352553,5.30975,-73.377861,2,AV42
26203,12235255,5.6500001,0.42714000756,2025-03-10,Centro,AV26,4.596453,-74.148856,4.59127,-74.1157,6,AV26
26204,12235256,5.0,0.378,2025-03-14,Centro,AV26,4.596453,-74.148856,4.539619816,-74.08555501,6,AV26
26205,12235270,20.6866667,1.56391200252,2025-03-27,Centro,AV42,5.544456,-73.352553,5.525659206,-73.36236508,4,AV42
26206,12235280,30.1666667,2.28060000252,2025-03-20,Centro,AV47,4.541264,-74.251706,4.62074,-74.1964,6,AV26
26207,12235303,10.0,0.756,2025-03-07,Centro,AV42,5.544456,-73.352553,5.673605,-73.289084,4,AV42
26208,12235317,5.25,0.39690000000000003,2025-03-13,Centro,AV04,5.807142,-73.006556,5.826070281,-73.02865847,1,AV04
26209,12235367,31.0,2.3436,2025-03-07,Centro,AV26,4.596453,-74.148856,4.509519,-74.111869,6,AV26
26210,12236092,377.0,28.501199999999997,2025-03-12,Centro,AV06,4.946467,-73.941175,5.024097118,-73.98283959,9,AV06
26211,12236176,26.0,1.9656,2025-03-18,Centro,AV42,5.544456,-73.352553,5.623074,-73.37134,4,AV42
26212,12236286,48.25,3.6477,2025-03-12,Centro,AV26,4.596453,-74.148856,4.60925,-74.136,6,AV26
26213,12236289,6.0,0.4536,2025-03-13,Centro,AV47,4.541264,-74.251706,4.40162092,-74.38547154,3,AV47
26214,12236330,33.0,2.4948,2025-03-12,Centro,AV06,4.946467,-73.941175,5.095408876,-73.64332744,2,AV06
26215,12236340,45.2004167,3.4171515025200003,2025-03-20,Centro,AV42,5.544456,-73.352553,5.355149827,-73.45750653,2,AV42
26216,12236341,5.3,0.40068,2025-03-14,Centro,AV47,4.541264,-74.251706,4.571616437,-74.17965976,6,AV26
26217,12236342,15.0,1.134,2025-03-13,Centro,AV06,4.946467,-73.941175,4.96402,-73.9158,9,AV06
26218,12236386,9.0,0.6804,2025-03-14,Centro,AV06,4.946467,-73.941175,5.049770292,-73.87074208,9,AV06
26219,12236420,19.5,1.4742000000000002,2025-03-28,Centro,AV04,5.807142,-73.006556,5.80841,-73.0249,1,AV04
26220,12236457,68.25,5.1597,2025-03-05,Centro,AV04,5.807142,-73.006556,5.559871077,-72.9863548,1,AV04
26221,12236488,37.25,2.8161,2025-03-05,Centro,AV04,5.807142,-73.006556,5.69824,-72.9422,1,AV04
26222,12236508,46.25,3.4965,2025-03-17,Centro,AV26,4.596453,-74.148856,4.5713,-74.0951,6,AV26
26223,12236525,26.0,1.9656,2025-03-08,Centro,AV50,4.742992,-74.164592,4.74383,-74.1145,0,AV50
26224,12236591,681.0,51.4836,2025-03-27,Centro,AV42,5.544456,-73.352553,5.521355754,-73.36934245,4,AV42
26225,12236640,53.25,4.0257000000000005,2025-03-12,Centro,AV50,4.742992,-74.164592,4.74832,-74.1099,0,AV50
26226,12236704,40.0,3.024,2025-03-05,Centro,AV04,5.807142,-73.006556,5.707235742,-72.92288349,1,AV04
26227,12236720,4.0,0.3024,2025-03-19,Centro,AV06,4.946467,-73.941175,4.691637,-74.0528,0,AV26
26228,12236832,31.1666666,2.35619999496,2025-03-14,Centro,AV26,4.596453,-74.148856,4.519670611,-74.08928559,6,AV26
26229,12236855,38.25,2.8917,2025-03-19,Centro,AV42,5.544456,-73.352553,5.532640982,-73.36245284,4,AV42
26230,12236932,6.0,0.4536,2025-03-08,Centro,AV26,4.596453,-74.148856,4.57628,-74.1535,6,AV26
26231,12236935,12.33,0.9321480000000001,2025-03-28,Centro,AV47,4.541264,-74.251706,4.580115838,-74.21150648,6,AV47
26232,12237034,33.5,2.5326,2025-03-13,Centro,AV26,4.596453,-74.148856,4.592676632,-74.11224157,6,AV26
26233,12237088,1.0,0.0756,2025-03-28,Centro,AV06,4.946467,-73.941175,4.74151,-74.0844,0,AV50
26234,12237629,12.25,0.9261,2025-03-14,Centro,AV26,4.596453,-74.148856,4.54453,-74.11,6,AV26
26235,12237656,38.0,2.8728,2025-03-15,Centro,AV26,4.596453,-74.148856,4.589135085,-74.14058139,6,AV26
26236,12237685,11.0,0.8316,2025-03-04,Centro,AV04,5.807142,-73.006556,5.751354176,-73.1837,1,AV42
26237,12237693,67.0,5.0652,2025-03-19,Centro,AV04,5.807142,-73.006556,5.70640952,-72.93739825,1,AV04
26238,12237714,48.06,3.633336,2025-03-13,Centro,AV50,4.742992,-74.164592,5.120066207,-74.497575,7,AV50
26239,12237715,8.686666599999999,0.65671199496,2025-03-12,Centro,AV47,4.541264,-74.251706,4.55972656,-74.24392232,6,AV47
26240,12237831,19.375,1.46475,2025-03-27,Centro,AV26,4.596453,-74.148856,4.559548408,-74.13685602,6,AV26
26241,12237841,4.0,0.3024,2025-03-22,Centro,AV04,5.807142,-73.006556,6.328548608,-72.58485355,5,AV04
26242,12237849,5.0,0.378,2025-03-14,Centro,AV04,5.807142,-73.006556,5.688890861,-73.22528476,4,AV42
26243,12237898,72.9,5.51124,2025-03-15,Centro,AV06,4.946467,-73.941175,5.023720442,-73.986292,9,AV06
26244,12237909,4.5,0.3402,2025-03-01,Centro,AV26,4.596453,-74.148856,4.5861,-74.1344,6,AV26
26245,12237927,40.0,3.024,2025-03-19,Centro,AV50,4.742992,-74.164592,4.73176,-74.4565,8,AV47
26246,12237928,4.0,0.3024,2025-03-07,Centro,AV50,4.742992,-74.164592,4.81786615,-74.349071,8,AV50
26247,12237962,53.4999999,4.04459999244,2025-03-06,Centro,AV04,5.807142,-73.006556,5.764948,-72.972688,1,AV04
