0,1,2,3,4,5,6,7,8,9
0.0,17.0165,15.9193,22.2589,7.9322,22.378400000000003,33.7954,17.1541,23.142,22.1434
14.046899999999999,0.0,1.5092999999999999,8.2871,13.825899999999999,8.4065,39.826800000000006,1.5740999999999998,9.170200000000001,8.1715
12.8148,1.315,0.0,7.8138000000000005,12.5938,7.9333,38.594699999999996,0.7721,8.6969,7.698300000000001
20.1554,8.0281,8.5007,0.0,19.9345,0.1195,45.935300000000005,8.9529,0.8831,0.1586
3.6134,14.847700000000001,13.7505,20.0901,0.0,20.2095,28.812099999999997,14.985299999999999,20.973200000000002,19.9745
20.0959,8.3612,8.8338,0.3307,19.875,0.0,45.875800000000005,9.286,0.7636000000000001,0.4893
30.640700000000002,40.2641,39.1669,37.6432,28.867,37.762699999999995,0.0,40.4017,38.5264,37.527699999999996
13.504,1.5740999999999998,0.826,8.4536,13.283,8.5731,39.2839,0.0,9.336799999999998,8.3381
20.436700000000002,8.702,9.1746,1.0931,20.215799999999998,1.2126,46.2166,9.6268,0.0,0.9776
19.9968,8.2621,8.7347,0.513,19.7759,0.6325,45.7767,9.1869,1.3961,0.0
