0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91
0.0,21.883200000000002,5.2267,5.1389,5.1389,5.1389,5.1389,6.4544,6.4544,6.4544,6.4544,15.1924,15.5689,10.9414,18.5415,10.6271,10.6271,18.014200000000002,22.8414,7.594399999999999,11.381200000000002,13.7011,13.7011,15.5984,5.1389,8.7276,9.044799999999999,7.613300000000001,11.139100000000001,6.3425,384.0206,384.0206,6.6632,26.8319,6.6358999999999995,19.669900000000002,18.7938,21.5819,6.3425,5.243399999999999,15.1924,12.640600000000001,5.243399999999999,10.7128,1.0058,10.641200000000001,9.7478,9.3366,5.1389,11.7272,23.4709,12.453700000000001,12.453700000000001,12.453700000000001,12.453700000000001,10.9414,10.9414,10.641200000000001,27.360799999999998,22.9927,4.5161999999999995,10.6271,6.8795,2.2943000000000002,6.3425,21.9205,12.985100000000001,11.5449,27.305,113.0557,113.0557,5.1389,8.9282,49.636300000000006,4.9627,21.700400000000002,10.6271,26.406299999999998,184.2218,184.2218,184.2218,5.1389,24.9727,26.2677,5.1389,13.7011,3.0153000000000003,20.814799999999998,12.5561,10.835600000000001,10.6271,9.5674
20.1588,0.0,21.569599999999998,24.3093,24.3093,24.3093,24.3093,19.136400000000002,19.136400000000002,19.136400000000002,19.136400000000002,6.4611,6.924600000000001,17.0379,10.7663,22.4325,22.4325,5.5113,2.5019,20.0335,22.5173,14.1912,14.1912,12.8723,24.3093,22.346400000000003,15.430399999999999,14.6746,17.238799999999998,25.512900000000002,403.19109999999995,403.19109999999995,25.833599999999997,6.7222,25.8063,9.929200000000002,11.0185,1.2598,25.512900000000002,24.4138,6.4611,25.4135,24.4138,12.1205,20.4441,22.3137,22.4889,22.949,24.3093,15.0823,3.9293,17.8111,17.8111,17.8111,17.8111,17.0379,17.0379,22.3137,6.086,5.4186000000000005,18.5895,22.4325,21.121,17.8736,25.512900000000002,4.3341,15.701,22.681,7.277699999999999,132.2262,132.2262,24.3093,18.9852,56.905,24.1331,3.3436,22.4325,5.9012,203.3922,203.3922,203.3922,24.3093,3.6517,6.0743,24.3093,14.1912,22.1857,9.8149,17.9135,22.7149,22.4325,22.1906
4.837899999999999,23.6118,0.0,4.0564,4.0564,4.0564,4.0564,1.865,1.865,1.865,1.865,16.921,17.2975,12.4945,20.2702,12.180299999999999,12.180299999999999,19.742900000000002,24.57,9.1476,12.934299999999999,15.4297,15.4297,17.327,4.0564,5.6831000000000005,10.773399999999999,9.342,12.692200000000001,6.8182,384.49629999999996,384.49629999999996,7.1388,28.5605,7.1325,21.3986,20.5224,23.3105,6.8182,5.7191,16.921,13.116200000000001,5.7191,12.4414,4.466399999999999,12.1944,11.301,9.812299999999999,4.0564,13.4558,25.1995,14.1823,14.1823,14.1823,14.1823,12.4945,12.4945,12.1944,29.0894,24.7213,3.816,12.180299999999999,8.4326,4.4866,6.8182,23.649099999999997,14.713700000000001,13.098,29.0336,113.53139999999999,113.53139999999999,4.0564,10.481399999999999,51.1895,5.4593,23.429,12.180299999999999,28.134900000000002,184.6975,184.6975,184.6975,4.0564,26.7013,27.996299999999998,4.0564,15.4297,2.5867,22.543400000000002,14.2847,12.3888,12.180299999999999,11.1206
5.6129,25.1319,5.510800000000001,0.0,0.0,0.0,0.0,6.1816,6.1816,6.1816,6.1816,18.441200000000002,18.817700000000002,12.2575,21.7903,11.943200000000001,11.943200000000001,21.263,26.0902,8.9105,12.697299999999998,15.7827,15.7827,17.6801,0.0,4.4704,12.6904,10.8621,12.455200000000001,5.3442,384.28540000000004,384.28540000000004,5.6673,30.080599999999997,3.096,22.9187,22.0425,24.830599999999997,5.3442,5.5081999999999995,18.441200000000002,12.9054,5.5081999999999995,13.9616,5.2414,11.9573,11.064,9.6014,0.0,13.499799999999999,26.7197,12.8074,12.8074,12.8074,12.8074,12.2575,12.2575,11.9573,30.6095,26.241400000000002,6.1022,11.943200000000001,8.1956,6.5813999999999995,5.3442,25.1693,16.6308,12.861,30.5538,113.3205,113.3205,0.0,10.244299999999999,50.952400000000004,0.15969999999999998,24.9492,11.943200000000001,29.655099999999997,184.4866,184.4866,184.4866,0.0,28.2215,29.5164,0.0,15.7827,3.7384,24.0635,12.909799999999999,12.1517,11.943200000000001,10.8835
5.6129,25.1319,5.510800000000001,0.0,0.0,0.0,0.0,6.1816,6.1816,6.1816,6.1816,18.441200000000002,18.817700000000002,12.2575,21.7903,11.943200000000001,11.943200000000001,21.263,26.0902,8.9105,12.697299999999998,15.7827,15.7827,17.6801,0.0,4.4704,12.6904,10.8621,12.455200000000001,5.3442,384.28540000000004,384.28540000000004,5.6673,30.080599999999997,3.096,22.9187,22.0425,24.830599999999997,5.3442,5.5081999999999995,18.441200000000002,12.9054,5.5081999999999995,13.9616,5.2414,11.9573,11.064,9.6014,0.0,13.499799999999999,26.7197,12.8074,12.8074,12.8074,12.8074,12.2575,12.2575,11.9573,30.6095,26.241400000000002,6.1022,11.943200000000001,8.1956,6.5813999999999995,5.3442,25.1693,16.6308,12.861,30.5538,113.3205,113.3205,0.0,10.244299999999999,50.952400000000004,0.15969999999999998,24.9492,11.943200000000001,29.655099999999997,184.4866,184.4866,184.4866,0.0,28.2215,29.5164,0.0,15.7827,3.7384,24.0635,12.909799999999999,12.1517,11.943200000000001,10.8835
5.6129,25.1319,5.510800000000001,0.0,0.0,0.0,0.0,6.1816,6.1816,6.1816,6.1816,18.441200000000002,18.817700000000002,12.2575,21.7903,11.943200000000001,11.943200000000001,21.263,26.0902,8.9105,12.697299999999998,15.7827,15.7827,17.6801,0.0,4.4704,12.6904,10.8621,12.455200000000001,5.3442,384.28540000000004,384.28540000000004,5.6673,30.080599999999997,3.096,22.9187,22.0425,24.830599999999997,5.3442,5.5081999999999995,18.441200000000002,12.9054,5.5081999999999995,13.9616,5.2414,11.9573,11.064,9.6014,0.0,13.499799999999999,26.7197,12.8074,12.8074,12.8074,12.8074,12.2575,12.2575,11.9573,30.6095,26.241400000000002,6.1022,11.943200000000001,8.1956,6.5813999999999995,5.3442,25.1693,16.6308,12.861,30.5538,113.3205,113.3205,0.0,10.244299999999999,50.952400000000004,0.15969999999999998,24.9492,11.943200000000001,29.655099999999997,184.4866,184.4866,184.4866,0.0,28.2215,29.5164,0.0,15.7827,3.7384,24.0635,12.909799999999999,12.1517,11.943200000000001,10.8835
5.6129,25.1319,5.510800000000001,0.0,0.0,0.0,0.0,6.1816,6.1816,6.1816,6.1816,18.441200000000002,18.817700000000002,12.2575,21.7903,11.943200000000001,11.943200000000001,21.263,26.0902,8.9105,12.697299999999998,15.7827,15.7827,17.6801,0.0,4.4704,12.6904,10.8621,12.455200000000001,5.3442,384.28540000000004,384.28540000000004,5.6673,30.080599999999997,3.096,22.9187,22.0425,24.830599999999997,5.3442,5.5081999999999995,18.441200000000002,12.9054,5.5081999999999995,13.9616,5.2414,11.9573,11.064,9.6014,0.0,13.499799999999999,26.7197,12.8074,12.8074,12.8074,12.8074,12.2575,12.2575,11.9573,30.6095,26.241400000000002,6.1022,11.943200000000001,8.1956,6.5813999999999995,5.3442,25.1693,16.6308,12.861,30.5538,113.3205,113.3205,0.0,10.244299999999999,50.952400000000004,0.15969999999999998,24.9492,11.943200000000001,29.655099999999997,184.4866,184.4866,184.4866,0.0,28.2215,29.5164,0.0,15.7827,3.7384,24.0635,12.909799999999999,12.1517,11.943200000000001,10.8835
5.052,20.1844,1.4545,5.510800000000001,5.510800000000001,5.510800000000001,5.510800000000001,0.0,0.0,0.0,0.0,13.4936,13.8701,10.481,16.8428,14.7594,14.7594,16.3155,21.142599999999998,10.602,14.8442,12.0023,12.0023,13.8996,5.510800000000001,6.5003,7.346,5.9145,10.681799999999999,8.2726,385.9507,385.9507,8.5933,25.1331,8.5869,17.9712,17.095,19.8831,8.2726,7.1735,13.4936,14.5707,7.1735,9.014,4.3383,14.640600000000001,12.7555,11.2667,5.510800000000001,10.0284,21.7721,10.7549,10.7549,10.7549,10.7549,10.481,10.481,14.640600000000001,25.662,21.2939,2.201,14.7594,9.8871,5.7347,8.2726,20.221700000000002,11.286299999999999,15.0079,25.6062,114.9859,114.9859,5.510800000000001,11.312100000000001,49.2319,6.9136999999999995,20.0016,14.7594,24.7075,186.15189999999998,186.15189999999998,186.15189999999998,5.510800000000001,23.2739,24.568900000000003,5.510800000000001,12.0023,4.0411,19.116,10.857299999999999,15.041799999999999,14.7594,12.5751
5.052,20.1844,1.4545,5.510800000000001,5.510800000000001,5.510800000000001,5.510800000000001,0.0,0.0,0.0,0.0,13.4936,13.8701,10.481,16.8428,14.7594,14.7594,16.3155,21.142599999999998,10.602,14.8442,12.0023,12.0023,13.8996,5.510800000000001,6.5003,7.346,5.9145,10.681799999999999,8.2726,385.9507,385.9507,8.5933,25.1331,8.5869,17.9712,17.095,19.8831,8.2726,7.1735,13.4936,14.5707,7.1735,9.014,4.3383,14.640600000000001,12.7555,11.2667,5.510800000000001,10.0284,21.7721,10.7549,10.7549,10.7549,10.7549,10.481,10.481,14.640600000000001,25.662,21.2939,2.201,14.7594,9.8871,5.7347,8.2726,20.221700000000002,11.286299999999999,15.0079,25.6062,114.9859,114.9859,5.510800000000001,11.312100000000001,49.2319,6.9136999999999995,20.0016,14.7594,24.7075,186.15189999999998,186.15189999999998,186.15189999999998,5.510800000000001,23.2739,24.568900000000003,5.510800000000001,12.0023,4.0411,19.116,10.857299999999999,15.041799999999999,14.7594,12.5751
5.052,20.1844,1.4545,5.510800000000001,5.510800000000001,5.510800000000001,5.510800000000001,0.0,0.0,0.0,0.0,13.4936,13.8701,10.481,16.8428,14.7594,14.7594,16.3155,21.142599999999998,10.602,14.8442,12.0023,12.0023,13.8996,5.510800000000001,6.5003,7.346,5.9145,10.681799999999999,8.2726,385.9507,385.9507,8.5933,25.1331,8.5869,17.9712,17.095,19.8831,8.2726,7.1735,13.4936,14.5707,7.1735,9.014,4.3383,14.640600000000001,12.7555,11.2667,5.510800000000001,10.0284,21.7721,10.7549,10.7549,10.7549,10.7549,10.481,10.481,14.640600000000001,25.662,21.2939,2.201,14.7594,9.8871,5.7347,8.2726,20.221700000000002,11.286299999999999,15.0079,25.6062,114.9859,114.9859,5.510800000000001,11.312100000000001,49.2319,6.9136999999999995,20.0016,14.7594,24.7075,186.15189999999998,186.15189999999998,186.15189999999998,5.510800000000001,23.2739,24.568900000000003,5.510800000000001,12.0023,4.0411,19.116,10.857299999999999,15.041799999999999,14.7594,12.5751
