0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0.0,6.294,6.294,6.294,46.0922,49.9833,6.294,6.294,50.062400000000004,207.8052,207.8052,3.0479000000000003,6.6502,6.294,8.4834,6.294,2.5685,2.5685,50.0195,6.294,3.0479000000000003,6.294,50.062400000000004,6.294,6.294,34.759800000000006,6.294,6.294,7.4493,49.9199,8.4834,17.771099999999997,2.5685,49.9833,2.5685,6.294,6.294,482.5507,482.5507,6.294
6.1747,0.0,0.0,0.0,50.1935,47.4919,0.0,0.0,47.571,205.3138,205.3138,7.149100000000001,5.065,0.0,1.4543,0.0,5.837899999999999,5.837899999999999,47.5281,0.0,7.149100000000001,0.0,47.571,0.0,0.0,38.029199999999996,0.0,0.0,5.8641000000000005,47.4285,1.4543,21.0404,5.837899999999999,47.4919,5.837899999999999,0.0,0.0,480.0593,480.0593,0.0
6.1747,0.0,0.0,0.0,50.1935,47.4919,0.0,0.0,47.571,205.3138,205.3138,7.149100000000001,5.065,0.0,1.4543,0.0,5.837899999999999,5.837899999999999,47.5281,0.0,7.149100000000001,0.0,47.571,0.0,0.0,38.029199999999996,0.0,0.0,5.8641000000000005,47.4285,1.4543,21.0404,5.837899999999999,47.4919,5.837899999999999,0.0,0.0,480.0593,480.0593,0.0
6.1747,0.0,0.0,0.0,50.1935,47.4919,0.0,0.0,47.571,205.3138,205.3138,7.149100000000001,5.065,0.0,1.4543,0.0,5.837899999999999,5.837899999999999,47.5281,0.0,7.149100000000001,0.0,47.571,0.0,0.0,38.029199999999996,0.0,0.0,5.8641000000000005,47.4285,1.4543,21.0404,5.837899999999999,47.4919,5.837899999999999,0.0,0.0,480.0593,480.0593,0.0
46.5472,50.250699999999995,50.250699999999995,50.250699999999995,0.0,93.62519999999999,50.250699999999995,50.250699999999995,93.7042,145.46779999999998,145.46779999999998,42.3339,50.6068,50.250699999999995,52.44,50.250699999999995,46.2104,46.2104,93.6614,50.250699999999995,42.3339,50.250699999999995,93.7042,50.250699999999995,50.250699999999995,78.40169999999999,50.250699999999995,50.250699999999995,51.4059,93.5618,52.44,61.4129,46.2104,93.62519999999999,46.2104,50.250699999999995,50.250699999999995,420.2133,420.2133,50.250699999999995
48.8474,47.7008,47.7008,47.7008,93.43289999999999,0.0,47.7008,47.7008,21.7562,158.4663,158.4663,51.895300000000006,50.3843,47.7008,45.968199999999996,47.7008,48.5106,48.5106,21.7133,47.7008,51.895300000000006,47.7008,21.7562,47.7008,47.7008,15.8877,47.7008,47.7008,50.2576,0.0634,45.968199999999996,31.0765,48.5106,0.0,48.5106,47.7008,47.7008,433.2117,433.2117,47.7008
6.1747,0.0,0.0,0.0,50.1935,47.4919,0.0,0.0,47.571,205.3138,205.3138,7.149100000000001,5.065,0.0,1.4543,0.0,5.837899999999999,5.837899999999999,47.5281,0.0,7.149100000000001,0.0,47.571,0.0,0.0,38.029199999999996,0.0,0.0,5.8641000000000005,47.4285,1.4543,21.0404,5.837899999999999,47.4919,5.837899999999999,0.0,0.0,480.0593,480.0593,0.0
6.1747,0.0,0.0,0.0,50.1935,47.4919,0.0,0.0,47.571,205.3138,205.3138,7.149100000000001,5.065,0.0,1.4543,0.0,5.837899999999999,5.837899999999999,47.5281,0.0,7.149100000000001,0.0,47.571,0.0,0.0,38.029199999999996,0.0,0.0,5.8641000000000005,47.4285,1.4543,21.0404,5.837899999999999,47.4919,5.837899999999999,0.0,0.0,480.0593,480.0593,0.0
48.9265,47.7798,47.7798,47.7798,93.5119,21.7562,47.7798,47.7798,0.0,179.578,179.578,51.9743,50.463300000000004,47.7798,46.0473,47.7798,48.5896,48.5896,0.404,47.7798,51.9743,47.7798,0.0,47.7798,47.7798,36.9994,47.7798,47.7798,50.3366,21.6928,46.0473,35.689699999999995,48.5896,21.7562,48.5896,47.7798,47.7798,454.3235,454.3235,47.7798
189.55,193.2534,193.2534,193.2534,143.1225,156.655,193.2534,193.2534,178.4112,0.0,0.0,185.3366,193.6095,193.2534,202.6233,193.2534,189.2131,189.2131,178.36829999999998,193.2534,185.3366,193.2534,178.4112,193.2534,193.2534,156.4726,193.2534,193.2534,194.4086,156.7184,202.6233,172.5977,189.2131,156.655,189.2131,193.2534,193.2534,275.1802,275.1802,193.2534
189.55,193.2534,193.2534,193.2534,143.1225,156.655,193.2534,193.2534,178.4112,0.0,0.0,185.3366,193.6095,193.2534,202.6233,193.2534,189.2131,189.2131,178.36829999999998,193.2534,185.3366,193.2534,178.4112,193.2534,193.2534,156.4726,193.2534,193.2534,194.4086,156.7184,202.6233,172.5977,189.2131,156.655,189.2131,193.2534,193.2534,275.1802,275.1802,193.2534
4.5892,8.2926,8.2926,8.2926,43.420199999999994,51.667199999999994,8.2926,8.2926,51.746199999999995,188.7545,188.7545,0.0,8.6488,8.2926,10.482,8.2926,4.2524,4.2524,51.703300000000006,8.2926,0.0,8.2926,51.746199999999995,8.2926,8.2926,36.4437,8.2926,8.2926,9.447899999999999,51.6038,10.482,19.454900000000002,4.2524,51.667199999999994,4.2524,8.2926,8.2926,463.5,463.5,8.2926
8.693100000000001,5.2308,5.2308,5.2308,52.711800000000004,50.0589,5.2308,5.2308,50.138,207.8808,207.8808,9.667399999999999,0.0,5.2308,4.6065,5.2308,8.356200000000001,8.356200000000001,50.095099999999995,5.2308,9.667399999999999,5.2308,50.138,5.2308,5.2308,40.5475,5.2308,5.2308,1.9154,49.9955,4.6065,23.5587,8.356200000000001,50.0589,8.356200000000001,5.2308,5.2308,482.6263,482.6263,5.2308
6.1747,0.0,0.0,0.0,50.1935,47.4919,0.0,0.0,47.571,205.3138,205.3138,7.149100000000001,5.065,0.0,1.4543,0.0,5.837899999999999,5.837899999999999,47.5281,0.0,7.149100000000001,0.0,47.571,0.0,0.0,38.029199999999996,0.0,0.0,5.8641000000000005,47.4285,1.4543,21.0404,5.837899999999999,47.4919,5.837899999999999,0.0,0.0,480.0593,480.0593,0.0
7.3012,1.7501,1.7501,1.7501,51.319900000000004,46.0102,1.7501,1.7501,46.0893,203.8321,203.8321,8.2756,4.9738999999999995,1.7501,0.0,1.7501,6.964300000000001,6.964300000000001,46.0464,1.7501,8.2756,1.7501,46.0893,1.7501,1.7501,39.1556,1.7501,1.7501,4.8472,45.9469,0.0,22.166900000000002,6.964300000000001,46.0102,6.964300000000001,1.7501,1.7501,478.57759999999996,478.57759999999996,1.7501
6.1747,0.0,0.0,0.0,50.1935,47.4919,0.0,0.0,47.571,205.3138,205.3138,7.149100000000001,5.065,0.0,1.4543,0.0,5.837899999999999,5.837899999999999,47.5281,0.0,7.149100000000001,0.0,47.571,0.0,0.0,38.029199999999996,0.0,0.0,5.8641000000000005,47.4285,1.4543,21.0404,5.837899999999999,47.4919,5.837899999999999,0.0,0.0,480.0593,480.0593,0.0
0.8258,7.1198999999999995,7.1198999999999995,7.1198999999999995,46.918,50.8092,7.1198999999999995,7.1198999999999995,50.8882,208.631,208.631,3.8737,7.476,7.1198999999999995,9.3092,7.1198999999999995,0.0,0.0,50.8453,7.1198999999999995,3.8737,7.1198999999999995,50.8882,7.1198999999999995,7.1198999999999995,35.585699999999996,7.1198999999999995,7.1198999999999995,8.2751,50.7458,9.3092,18.5969,0.0,50.8092,0.0,7.1198999999999995,7.1198999999999995,483.3765,483.3765,7.1198999999999995
0.8258,7.1198999999999995,7.1198999999999995,7.1198999999999995,46.918,50.8092,7.1198999999999995,7.1198999999999995,50.8882,208.631,208.631,3.8737,7.476,7.1198999999999995,9.3092,7.1198999999999995,0.0,0.0,50.8453,7.1198999999999995,3.8737,7.1198999999999995,50.8882,7.1198999999999995,7.1198999999999995,35.585699999999996,7.1198999999999995,7.1198999999999995,8.2751,50.7458,9.3092,18.5969,0.0,50.8092,0.0,7.1198999999999995,7.1198999999999995,483.3765,483.3765,7.1198999999999995
48.8836,47.7369,47.7369,47.7369,93.469,21.7133,47.7369,47.7369,0.404,179.5351,179.5351,51.931400000000004,50.4204,47.7369,46.004400000000004,47.7369,48.546699999999994,48.546699999999994,0.0,47.7369,51.931400000000004,47.7369,0.404,47.7369,47.7369,36.9565,47.7369,47.7369,50.293699999999994,21.649900000000002,46.004400000000004,35.646800000000006,48.546699999999994,21.7133,48.546699999999994,47.7369,47.7369,454.2806,454.2806,47.7369
6.1747,0.0,0.0,0.0,50.1935,47.4919,0.0,0.0,47.571,205.3138,205.3138,7.149100000000001,5.065,0.0,1.4543,0.0,5.837899999999999,5.837899999999999,47.5281,0.0,7.149100000000001,0.0,47.571,0.0,0.0,38.029199999999996,0.0,0.0,5.8641000000000005,47.4285,1.4543,21.0404,5.837899999999999,47.4919,5.837899999999999,0.0,0.0,480.0593,480.0593,0.0
4.5892,8.2926,8.2926,8.2926,43.420199999999994,51.667199999999994,8.2926,8.2926,51.746199999999995,188.7545,188.7545,0.0,8.6488,8.2926,10.482,8.2926,4.2524,4.2524,51.703300000000006,8.2926,0.0,8.2926,51.746199999999995,8.2926,8.2926,36.4437,8.2926,8.2926,9.447899999999999,51.6038,10.482,19.454900000000002,4.2524,51.667199999999994,4.2524,8.2926,8.2926,463.5,463.5,8.2926
