0,1,2,3,4,5,6,7,8,9,10,11,12,13
0.0,13.8125,33.5625,30.0045,14.3184,0.168,0.168,0.168,0.168,17.9275,2.4214,108.15780000000001,49.5562,0.168
17.453400000000002,0.0,44.9835,38.2663,0.6382000000000001,17.4516,17.4516,17.4516,17.4516,29.3485,11.8292,119.5787,60.9771,17.4516
31.271,44.8038,0.0,60.9958,45.309599999999996,31.2692,31.2692,31.2692,31.2692,23.1587,33.412699999999994,112.497,53.8955,31.2692
32.2209,38.1027,59.7509,0.0,38.6085,32.2191,32.2191,32.2191,32.2191,44.1159,27.5989,134.3462,75.7446,32.2191
17.9761,0.8847,45.5062,38.789,0.0,17.9743,17.9743,17.9743,17.9743,29.8712,12.351899999999999,120.1014,61.4998,17.9743
0.168,13.9037,33.6537,30.0957,14.409600000000001,0.0,0.0,0.0,0.0,18.0187,2.5126,108.249,49.647400000000005,0.0
0.168,13.9037,33.6537,30.0957,14.409600000000001,0.0,0.0,0.0,0.0,18.0187,2.5126,108.249,49.647400000000005,0.0
0.168,13.9037,33.6537,30.0957,14.409600000000001,0.0,0.0,0.0,0.0,18.0187,2.5126,108.249,49.647400000000005,0.0
0.168,13.9037,33.6537,30.0957,14.409600000000001,0.0,0.0,0.0,0.0,18.0187,2.5126,108.249,49.647400000000005,0.0
15.9601,29.492900000000002,22.6848,45.6849,29.9987,15.9583,15.9583,15.9583,15.9583,0.0,18.1018,90.6701,32.0685,15.9583
5.9387,11.6822,33.4688,27.5643,12.188,5.9369,5.9369,5.9369,5.9369,17.8338,0.0,108.064,49.4624,5.9369
106.0472,119.5799,112.6281,135.7719,120.0858,106.0454,106.0454,106.0454,106.0454,91.1076,108.1888,0.0,63.6034,106.0454
47.3815,60.914199999999994,53.9624,77.1062,61.42,47.379599999999996,47.379599999999996,47.379599999999996,47.379599999999996,32.441900000000004,49.5231,63.6517,0.0,47.379599999999996
0.168,13.9037,33.6537,30.0957,14.409600000000001,0.0,0.0,0.0,0.0,18.0187,2.5126,108.249,49.647400000000005,0.0
