0,1,2,3,4,5,6,7,8,9,10,11,12
0.0,97.1049,25.3184,24.9842,69.8328,4.8466000000000005,3.0503,4.1061000000000005,25.0452,5.3072,4.8466000000000005,3.2113,69.8328
86.4238,0.0,65.6705,65.793,46.785199999999996,86.1627,89.1629,87.1205,65.898,86.0887,86.1627,84.8446,46.785199999999996
24.602400000000003,65.6687,0.0,0.3342,38.396699999999996,24.3413,27.3415,25.2991,0.4392,24.2673,24.3413,23.0232,38.396699999999996
24.2682,65.7912,0.3342,0.0,38.5192,24.007099999999998,27.0073,24.9649,0.1444,23.9331,24.007099999999998,22.689,38.5192
59.1518,46.785199999999996,38.3984,38.520900000000005,0.0,58.890699999999995,61.8909,59.8484,38.6259,58.8167,58.890699999999995,57.5726,0.0
4.6723,93.0958,24.3607,24.0265,65.8238,0.0,6.5583,1.2578,24.0875,1.3264,0.0,1.5702,65.8238
3.2531,98.7047,27.4247,27.0905,71.4327,6.4464,0.0,5.7059,27.1515,6.907,6.4464,5.293399999999999,71.4327
4.1618,93.18839999999999,25.328599999999998,24.994400000000002,65.9163,1.2525,6.047899999999999,0.0,25.055400000000002,1.3907,1.2525,2.0362999999999998,65.9163
24.3293,65.8962,0.4392,0.1444,38.624199999999995,24.068099999999998,27.0683,25.0259,0.0,23.9941,24.068099999999998,22.75,38.624199999999995
5.504,91.79769999999999,24.2967,23.9625,64.5256,1.3364,7.3901,1.401,24.0235,0.0,1.3364,2.0450999999999997,64.5256
4.6723,93.0958,24.3607,24.0265,65.8238,0.0,6.5583,1.2578,24.0875,1.3264,0.0,1.5702,65.8238
3.6929000000000003,95.1038,23.113,22.7788,67.8317,1.5643,5.5462,2.5126999999999997,22.8398,3.3061,1.5643,0.0,67.8317
59.1518,46.785199999999996,38.3984,38.520900000000005,0.0,58.890699999999995,61.8909,59.8484,38.6259,58.8167,58.890699999999995,57.5726,0.0
