0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0.0,6.294,6.294,6.294,46.0922,49.9833,6.294,16.1874,6.294,3.0479000000000003,15.699399999999999,14.2166,6.6502,6.294,10.559299999999999,8.4834,6.294,2.5685,15.699399999999999,2.5685,6.294,3.0479000000000003,6.294,6.294,6.294,34.759800000000006,6.294,6.294,7.4493,49.9199,8.4834,15.699399999999999,17.771099999999997,2.5685,12.476600000000001,49.9833,2.5685,6.294,6.294,6.294
6.1747,0.0,0.0,0.0,50.1935,47.4919,0.0,12.7808,0.0,7.149100000000001,14.1142,12.6314,5.065,0.0,8.577,1.4543,0.0,5.837899999999999,14.1142,5.837899999999999,0.0,7.149100000000001,0.0,0.0,0.0,38.029199999999996,0.0,0.0,5.8641000000000005,47.4285,1.4543,14.1142,21.0404,5.837899999999999,10.891399999999999,47.4919,5.837899999999999,0.0,0.0,0.0
6.1747,0.0,0.0,0.0,50.1935,47.4919,0.0,12.7808,0.0,7.149100000000001,14.1142,12.6314,5.065,0.0,8.577,1.4543,0.0,5.837899999999999,14.1142,5.837899999999999,0.0,7.149100000000001,0.0,0.0,0.0,38.029199999999996,0.0,0.0,5.8641000000000005,47.4285,1.4543,14.1142,21.0404,5.837899999999999,10.891399999999999,47.4919,5.837899999999999,0.0,0.0,0.0
6.1747,0.0,0.0,0.0,50.1935,47.4919,0.0,12.7808,0.0,7.149100000000001,14.1142,12.6314,5.065,0.0,8.577,1.4543,0.0,5.837899999999999,14.1142,5.837899999999999,0.0,7.149100000000001,0.0,0.0,0.0,38.029199999999996,0.0,0.0,5.8641000000000005,47.4285,1.4543,14.1142,21.0404,5.837899999999999,10.891399999999999,47.4919,5.837899999999999,0.0,0.0,0.0
46.5472,50.250699999999995,50.250699999999995,50.250699999999995,0.0,93.62519999999999,50.250699999999995,60.1441,50.250699999999995,42.3339,59.656,58.173199999999994,50.6068,50.250699999999995,54.5159,52.44,50.250699999999995,46.2104,59.656,46.2104,50.250699999999995,42.3339,50.250699999999995,50.250699999999995,50.250699999999995,78.40169999999999,50.250699999999995,50.250699999999995,51.4059,93.5618,52.44,59.656,61.4129,46.2104,56.4333,93.62519999999999,46.2104,50.250699999999995,50.250699999999995,50.250699999999995
48.8474,47.7008,47.7008,47.7008,93.43289999999999,0.0,47.7008,56.929,47.7008,51.895300000000006,58.5077,57.0249,50.3843,47.7008,52.7251,45.968199999999996,47.7008,48.5106,58.5077,48.5106,47.7008,51.895300000000006,47.7008,47.7008,47.7008,15.8877,47.7008,47.7008,50.2576,0.0634,45.968199999999996,58.5077,31.0765,48.5106,55.2849,0.0,48.5106,47.7008,47.7008,47.7008
6.1747,0.0,0.0,0.0,50.1935,47.4919,0.0,12.7808,0.0,7.149100000000001,14.1142,12.6314,5.065,0.0,8.577,1.4543,0.0,5.837899999999999,14.1142,5.837899999999999,0.0,7.149100000000001,0.0,0.0,0.0,38.029199999999996,0.0,0.0,5.8641000000000005,47.4285,1.4543,14.1142,21.0404,5.837899999999999,10.891399999999999,47.4919,5.837899999999999,0.0,0.0,0.0
16.9782,13.5159,13.5159,13.5159,60.997,54.967400000000005,13.5159,0.0,13.5159,17.952599999999997,9.1377,9.460700000000001,9.807,13.5159,6.556100000000001,11.0735,13.5159,16.6414,9.1377,16.6414,13.5159,17.952599999999997,13.5159,13.5159,13.5159,48.832699999999996,13.5159,13.5159,8.9978,54.904,11.0735,9.1377,31.8439,16.6414,4.384,54.967400000000005,16.6414,13.5159,13.5159,13.5159
6.1747,0.0,0.0,0.0,50.1935,47.4919,0.0,12.7808,0.0,7.149100000000001,14.1142,12.6314,5.065,0.0,8.577,1.4543,0.0,5.837899999999999,14.1142,5.837899999999999,0.0,7.149100000000001,0.0,0.0,0.0,38.029199999999996,0.0,0.0,5.8641000000000005,47.4285,1.4543,14.1142,21.0404,5.837899999999999,10.891399999999999,47.4919,5.837899999999999,0.0,0.0,0.0
4.5892,8.2926,8.2926,8.2926,43.420199999999994,51.667199999999994,8.2926,18.1861,8.2926,0.0,17.698,16.2152,8.6488,8.2926,12.5579,10.482,8.2926,4.2524,17.698,4.2524,8.2926,0.0,8.2926,8.2926,8.2926,36.4437,8.2926,8.2926,9.447899999999999,51.6038,10.482,17.698,19.454900000000002,4.2524,14.475200000000001,51.667199999999994,4.2524,8.2926,8.2926,8.2926
