0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0.0,12.197799999999999,14.6357,52.711,15.2094,54.783300000000004,79.483,12.197799999999999,11.498700000000001,29.4143,12.197799999999999,79.1375,77.0643,54.3793,54.783300000000004,12.197799999999999,12.5038,12.197799999999999,11.498700000000001,12.197799999999999,12.197799999999999,18.302400000000002,12.5038,78.0498,79.483,12.325899999999999,11.7389,77.0643
9.4705,0.0,22.341900000000003,51.1578,22.9155,41.647400000000005,67.15,0.0,2.929,16.2784,0.0,66.00160000000001,67.79769999999999,41.2434,41.647400000000005,0.0,20.21,0.0,2.929,0.0,0.0,7.1712,20.21,67.01039999999999,67.15,20.0321,19.445,67.79769999999999
16.9857,23.009,0.0,63.5171,1.8737000000000001,65.5945,90.2891,23.009,22.309900000000003,40.2255,23.009,89.9488,87.87039999999999,65.1905,65.5945,23.009,8.445799999999998,23.009,22.309900000000003,23.009,23.009,29.113599999999998,8.445799999999998,88.85589999999999,90.2891,5.9295,3.4846,87.87039999999999
47.5835,44.5727,56.213300000000004,0.0,56.7869,64.8237,27.1368,44.5727,47.5017,39.454699999999995,44.5727,28.6642,24.7181,64.41969999999999,64.8237,44.5727,54.0814,44.5727,47.5017,44.5727,44.5727,41.884699999999995,54.0814,25.703599999999998,27.1368,53.9035,53.3164,24.7181
14.9511,20.974400000000003,1.7742,61.4824,0.0,63.5599,88.2545,20.974400000000003,20.275299999999998,38.1909,20.974400000000003,87.9141,85.8358,63.1559,63.5599,20.974400000000003,9.7979,20.974400000000003,20.275299999999998,20.974400000000003,20.974400000000003,27.079,9.7979,86.82130000000001,88.2545,7.2816,4.849600000000001,85.8358
50.956,43.0535,63.827400000000004,72.7308,64.401,0.0,55.0131,43.0535,42.68,26.2276,43.0535,53.864599999999996,55.6607,0.404,0.0,43.0535,58.6298,43.0535,42.68,43.0535,43.0535,37.594199999999994,58.6298,54.873400000000004,55.0131,61.5176,60.9305,55.6607
75.8449,67.9423,88.7162,27.041400000000003,89.28989999999999,55.175599999999996,0.0,67.9423,67.5689,50.9349,67.9423,1.5275,2.8592,55.5796,55.175599999999996,67.9423,83.5187,67.9423,67.5689,67.9423,67.9423,62.483,83.5187,1.3207,0.0,86.40639999999999,85.81939999999999,2.8592
9.4705,0.0,22.341900000000003,51.1578,22.9155,41.647400000000005,67.15,0.0,2.929,16.2784,0.0,66.00160000000001,67.79769999999999,41.2434,41.647400000000005,0.0,20.21,0.0,2.929,0.0,0.0,7.1712,20.21,67.01039999999999,67.15,20.0321,19.445,67.79769999999999
8.905299999999999,3.142,21.7767,57.109199999999994,22.3503,43.7235,69.2261,3.142,0.0,18.3545,3.142,68.0777,69.8738,43.3195,43.7235,3.142,18.6447,3.142,0.0,3.142,3.142,7.2426,18.6447,69.0865,69.2261,19.466900000000003,18.8798,69.8738
24.9494,17.0469,37.820800000000006,46.7243,38.3945,25.369,51.092699999999994,17.0469,16.6735,0.0,17.0469,49.944199999999995,51.7404,24.965,25.369,17.0469,32.6233,17.0469,16.6735,17.0469,17.0469,11.5876,32.6233,50.9531,51.092699999999994,35.511,34.924,51.7404
9.4705,0.0,22.341900000000003,51.1578,22.9155,41.647400000000005,67.15,0.0,2.929,16.2784,0.0,66.00160000000001,67.79769999999999,41.2434,41.647400000000005,0.0,20.21,0.0,2.929,0.0,0.0,7.1712,20.21,67.01039999999999,67.15,20.0321,19.445,67.79769999999999
74.6964,66.7939,87.5678,28.5688,88.14139999999999,54.0271,1.5275,66.7939,66.4204,49.7864,66.7939,0.0,2.1751,54.4311,54.0271,66.7939,82.3702,66.7939,66.4204,66.7939,66.7939,61.3346,82.3702,1.3878,1.5275,85.258,84.671,2.1751
76.7463,68.8438,80.3721,24.7892,80.9457,56.077,1.8851,68.8438,68.47030000000001,51.8363,68.8438,2.4289,0.0,56.481,56.077,68.8438,84.4201,68.8438,68.47030000000001,68.8438,68.8438,63.3844,84.4201,1.0420999999999998,1.8851,78.06230000000001,77.4753,0.0
50.552,42.6495,63.4234,72.3268,63.997,0.404,55.4171,42.6495,42.276,25.8236,42.6495,54.2686,56.064699999999995,0.0,0.404,42.6495,58.2258,42.6495,42.276,42.6495,42.6495,37.1902,58.2258,55.2774,55.4171,61.1136,60.5265,56.064699999999995
50.956,43.0535,63.827400000000004,72.7308,64.401,0.0,55.0131,43.0535,42.68,26.2276,43.0535,53.864599999999996,55.6607,0.404,0.0,43.0535,58.6298,43.0535,42.68,43.0535,43.0535,37.594199999999994,58.6298,54.873400000000004,55.0131,61.5176,60.9305,55.6607
9.4705,0.0,22.341900000000003,51.1578,22.9155,41.647400000000005,67.15,0.0,2.929,16.2784,0.0,66.00160000000001,67.79769999999999,41.2434,41.647400000000005,0.0,20.21,0.0,2.929,0.0,0.0,7.1712,20.21,67.01039999999999,67.15,20.0321,19.445,67.79769999999999
13.8175,18.0667,10.5792,60.3489,11.152899999999999,59.3515,84.85419999999999,18.0667,17.3424,33.9825,18.0667,83.7057,84.70230000000001,58.9475,59.3515,18.0667,0.0,18.0667,17.3424,18.0667,18.0667,22.8706,0.0,84.7146,84.85419999999999,5.258100000000001,4.6452,84.70230000000001
9.4705,0.0,22.341900000000003,51.1578,22.9155,41.647400000000005,67.15,0.0,2.929,16.2784,0.0,66.00160000000001,67.79769999999999,41.2434,41.647400000000005,0.0,20.21,0.0,2.929,0.0,0.0,7.1712,20.21,67.01039999999999,67.15,20.0321,19.445,67.79769999999999
8.905299999999999,3.142,21.7767,57.109199999999994,22.3503,43.7235,69.2261,3.142,0.0,18.3545,3.142,68.0777,69.8738,43.3195,43.7235,3.142,18.6447,3.142,0.0,3.142,3.142,7.2426,18.6447,69.0865,69.2261,19.466900000000003,18.8798,69.8738
