0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85
0.0,34.5731,17.0165,58.4832,58.4832,58.4832,58.4832,42.606300000000005,15.9193,22.2589,95.2237,54.1737,54.1737,54.1737,54.1737,41.498400000000004,41.962,48.7668,40.396699999999996,38.2405,33.6218,44.700199999999995,44.700199999999995,7.9322,58.4832,47.1593,254.7454,254.7454,37.378099999999996,49.7119,77.93260000000001,48.9676,433.21320000000003,433.21320000000003,34.311099999999996,22.378400000000003,40.7136,46.482699999999994,41.4867,34.6372,33.7954,41.498400000000004,37.1588,47.1578,17.1541,58.4832,46.811099999999996,33.023300000000006,49.54,49.54,49.54,49.54,48.7668,48.7668,29.3385,36.8071,46.7172,46.7172,35.158699999999996,46.447199999999995,32.3205,162.2483,162.2483,58.4832,23.142,42.6966,34.9865,34.9952,44.8895,233.4144,233.4144,233.4144,58.4832,32.6577,35.3416,32.6272,45.501400000000004,58.4832,45.6397,44.700199999999995,40.048,49.6424,529.4909,529.4909,22.1434,77.93260000000001
32.0128,0.0,25.7637,24.3093,24.3093,24.3093,24.3093,8.2591,25.449,21.223200000000002,125.53269999999999,19.136400000000002,19.136400000000002,19.136400000000002,19.136400000000002,6.4611,6.924600000000001,17.0379,10.7663,5.5113,2.5019,14.1912,14.1912,31.7918,24.3093,15.430399999999999,232.6605,232.6605,6.1232,14.6746,108.2416,17.238799999999998,403.19109999999995,403.19109999999995,6.7222,21.3427,9.929200000000002,12.135399999999999,11.0185,1.2598,29.0155,6.4611,4.9287,12.1205,25.9013,24.3093,15.0823,3.9293,17.8111,17.8111,17.8111,17.8111,17.0379,17.0379,6.086,5.4186000000000005,12.37,12.37,4.3341,15.701,7.277699999999999,132.2262,132.2262,24.3093,22.1063,8.3494,3.3436,5.9012,10.5423,203.3922,203.3922,203.3922,24.3093,3.6517,6.0743,32.0079,11.154200000000001,24.3093,11.2925,14.1912,9.8149,17.9135,507.406,507.406,21.1077,108.2416
14.046899999999999,24.595200000000002,0.0,48.505300000000005,48.505300000000005,48.505300000000005,48.505300000000005,32.6284,1.5092999999999999,8.2871,114.9221,44.195800000000006,44.195800000000006,44.195800000000006,44.195800000000006,31.5205,31.984099999999998,38.7889,30.4188,28.2626,23.644,34.722300000000004,34.722300000000004,13.825899999999999,48.505300000000005,37.181400000000004,240.77360000000002,240.77360000000002,27.4002,39.734,97.631,38.9897,423.2353,423.2353,24.3332,8.4065,30.735799999999998,36.5048,31.5088,24.659299999999998,39.826800000000006,31.5205,27.1809,37.1799,1.5740999999999998,48.505300000000005,36.8332,23.0454,39.5621,39.5621,39.5621,39.5621,38.7889,38.7889,19.360599999999998,26.8292,36.7394,36.7394,25.180799999999998,36.469300000000004,22.342599999999997,152.2705,152.2705,48.505300000000005,9.170200000000001,32.7188,25.008599999999998,25.0173,34.9116,223.4365,223.4365,223.4365,48.505300000000005,22.6798,25.3637,16.5601,35.5235,48.505300000000005,35.6618,34.722300000000004,30.0701,39.6645,515.5191,515.5191,8.1715,97.631
55.2889,25.1319,49.0398,0.0,0.0,0.0,0.0,18.402099999999997,48.7251,44.499300000000005,148.8088,6.1816,6.1816,6.1816,6.1816,18.441200000000002,18.817700000000002,12.2575,21.7903,21.263,26.0902,15.7827,15.7827,55.0679,0.0,12.6904,211.7812,211.7812,28.1978,10.8621,131.51770000000002,12.455200000000001,384.28540000000004,384.28540000000004,30.080599999999997,44.6188,22.9187,15.7578,22.0425,24.830599999999997,38.841699999999996,18.441200000000002,27.0033,13.9616,49.1773,0.0,13.499799999999999,26.7197,12.8074,12.8074,12.8074,12.8074,12.2575,12.2575,30.6095,26.241400000000002,25.6408,25.6408,25.1693,16.6308,30.5538,113.3205,113.3205,0.0,45.382400000000004,18.5267,24.9492,29.655099999999997,15.837299999999999,184.4866,184.4866,184.4866,0.0,28.2215,29.5164,45.2787,24.425,0.0,24.563200000000002,15.7827,24.0635,12.909799999999999,486.5267,486.5267,44.3838,131.51770000000002
55.2889,25.1319,49.0398,0.0,0.0,0.0,0.0,18.402099999999997,48.7251,44.499300000000005,148.8088,6.1816,6.1816,6.1816,6.1816,18.441200000000002,18.817700000000002,12.2575,21.7903,21.263,26.0902,15.7827,15.7827,55.0679,0.0,12.6904,211.7812,211.7812,28.1978,10.8621,131.51770000000002,12.455200000000001,384.28540000000004,384.28540000000004,30.080599999999997,44.6188,22.9187,15.7578,22.0425,24.830599999999997,38.841699999999996,18.441200000000002,27.0033,13.9616,49.1773,0.0,13.499799999999999,26.7197,12.8074,12.8074,12.8074,12.8074,12.2575,12.2575,30.6095,26.241400000000002,25.6408,25.6408,25.1693,16.6308,30.5538,113.3205,113.3205,0.0,45.382400000000004,18.5267,24.9492,29.655099999999997,15.837299999999999,184.4866,184.4866,184.4866,0.0,28.2215,29.5164,45.2787,24.425,0.0,24.563200000000002,15.7827,24.0635,12.909799999999999,486.5267,486.5267,44.3838,131.51770000000002
55.2889,25.1319,49.0398,0.0,0.0,0.0,0.0,18.402099999999997,48.7251,44.499300000000005,148.8088,6.1816,6.1816,6.1816,6.1816,18.441200000000002,18.817700000000002,12.2575,21.7903,21.263,26.0902,15.7827,15.7827,55.0679,0.0,12.6904,211.7812,211.7812,28.1978,10.8621,131.51770000000002,12.455200000000001,384.28540000000004,384.28540000000004,30.080599999999997,44.6188,22.9187,15.7578,22.0425,24.830599999999997,38.841699999999996,18.441200000000002,27.0033,13.9616,49.1773,0.0,13.499799999999999,26.7197,12.8074,12.8074,12.8074,12.8074,12.2575,12.2575,30.6095,26.241400000000002,25.6408,25.6408,25.1693,16.6308,30.5538,113.3205,113.3205,0.0,45.382400000000004,18.5267,24.9492,29.655099999999997,15.837299999999999,184.4866,184.4866,184.4866,0.0,28.2215,29.5164,45.2787,24.425,0.0,24.563200000000002,15.7827,24.0635,12.909799999999999,486.5267,486.5267,44.3838,131.51770000000002
55.2889,25.1319,49.0398,0.0,0.0,0.0,0.0,18.402099999999997,48.7251,44.499300000000005,148.8088,6.1816,6.1816,6.1816,6.1816,18.441200000000002,18.817700000000002,12.2575,21.7903,21.263,26.0902,15.7827,15.7827,55.0679,0.0,12.6904,211.7812,211.7812,28.1978,10.8621,131.51770000000002,12.455200000000001,384.28540000000004,384.28540000000004,30.080599999999997,44.6188,22.9187,15.7578,22.0425,24.830599999999997,38.841699999999996,18.441200000000002,27.0033,13.9616,49.1773,0.0,13.499799999999999,26.7197,12.8074,12.8074,12.8074,12.8074,12.2575,12.2575,30.6095,26.241400000000002,25.6408,25.6408,25.1693,16.6308,30.5538,113.3205,113.3205,0.0,45.382400000000004,18.5267,24.9492,29.655099999999997,15.837299999999999,184.4866,184.4866,184.4866,0.0,28.2215,29.5164,45.2787,24.425,0.0,24.563200000000002,15.7827,24.0635,12.909799999999999,486.5267,486.5267,44.3838,131.51770000000002
39.246199999999995,7.1613999999999995,32.997099999999996,17.6662,17.6662,17.6662,17.6662,0.0,32.6825,28.4567,132.7661,12.4932,12.4932,12.4932,12.4932,3.4541999999999997,3.8306999999999998,12.1124,6.5065,3.8217,8.1196,9.505700000000001,9.505700000000001,39.0253,17.6662,9.287,227.96079999999998,227.96079999999998,10.2273,8.0315,115.475,12.3132,396.5479,396.5479,14.1186,28.5761,7.6349,6.3862,6.7587,6.8601,23.558,3.4541999999999997,9.0328,5.4773000000000005,33.134699999999995,17.6662,8.855799999999999,10.677,12.386299999999999,12.386299999999999,12.386299999999999,12.386299999999999,12.1124,12.1124,14.5669,10.447899999999999,7.6703,7.6703,9.1266,11.5486,14.5111,125.583,125.583,17.6662,29.3398,0.6871,6.9786,13.239700000000001,4.388199999999999,196.7491,196.7491,196.7491,17.6662,10.251,13.473799999999999,27.3082,6.4544,17.6662,6.5927,9.505700000000001,8.7797,12.488700000000001,502.7062,502.7062,28.341099999999997,115.475
12.8148,24.122,1.315,48.032,48.032,48.032,48.032,32.1551,0.0,7.8138000000000005,113.69,43.7225,43.7225,43.7225,43.7225,31.0473,31.5108,38.315599999999996,29.9456,27.7894,23.1707,34.249,34.249,12.5938,48.032,36.7081,240.3003,240.3003,26.9269,39.2608,96.3989,38.5165,422.7621,422.7621,23.859900000000003,7.9333,30.2625,36.0315,31.0355,24.1861,38.594699999999996,31.0473,26.7076,36.7066,0.7721,48.032,36.36,22.5721,39.088800000000006,39.088800000000006,39.088800000000006,39.088800000000006,38.315599999999996,38.315599999999996,18.887400000000003,26.356,36.2661,36.2661,24.7075,35.9961,21.869400000000002,151.7972,151.7972,48.032,8.6969,32.2455,24.5353,24.544,34.438300000000005,222.9632,222.9632,222.9632,48.032,22.206599999999998,24.890400000000003,16.2452,35.0503,48.032,35.1885,34.249,29.596799999999998,39.191199999999995,515.0458,515.0458,7.698300000000001,96.3989
20.1554,20.3218,8.0281,44.2319,44.2319,44.2319,44.2319,28.355,8.5007,0.0,122.4916,39.9224,39.9224,39.9224,39.9224,27.2471,27.7107,34.5155,26.145400000000002,23.9892,19.3705,30.448900000000002,30.448900000000002,19.9345,44.2319,32.908,232.4865,232.4865,16.2792,35.4606,105.20039999999999,34.716300000000004,418.9619,418.9619,20.0597,0.1195,26.4623,32.2314,27.235400000000002,20.385900000000003,45.935300000000005,27.2471,22.9075,32.9065,8.9529,44.2319,32.5598,18.772,35.2887,35.2887,35.2887,35.2887,34.5155,34.5155,15.087200000000001,22.555799999999998,22.0087,22.0087,20.907400000000003,32.1959,18.069200000000002,147.997,147.997,44.2319,0.8831,28.4453,20.7352,20.7439,30.6382,219.16310000000001,219.16310000000001,219.16310000000001,44.2319,18.4064,21.0903,16.3465,31.2501,44.2319,22.3733,30.448900000000002,25.7967,35.3911,507.232,507.232,0.1586,105.20039999999999
