0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
0.0,5.2267,10.6271,10.6271,7.594399999999999,11.381200000000002,15.5984,5.243399999999999,12.640600000000001,5.243399999999999,1.0058,10.641200000000001,9.7478,9.3366,10.641200000000001,4.5161999999999995,10.6271,6.8795,2.2943000000000002,11.5449,8.9282,49.636300000000006,10.6271,3.0153000000000003,10.835600000000001,10.6271,9.5674
4.837899999999999,0.0,12.180299999999999,12.180299999999999,9.1476,12.934299999999999,17.327,5.7191,13.116200000000001,5.7191,4.466399999999999,12.1944,11.301,9.812299999999999,12.1944,3.816,12.180299999999999,8.4326,4.4866,13.098,10.481399999999999,51.1895,12.180299999999999,2.5867,12.3888,12.180299999999999,11.1206
8.3206,12.5589,0.0,0.0,3.2557,0.7102999999999999,11.852799999999998,8.4689,5.2984,8.4689,8.9109,0.4315,1.6475,5.3247,0.4315,14.741200000000001,0.0,5.444100000000001,8.570799999999998,1.4610999999999998,3.2013000000000003,41.0005,0.0,10.3475,0.22030000000000002,0.0,1.768
8.3206,12.5589,0.0,0.0,3.2557,0.7102999999999999,11.852799999999998,8.4689,5.2984,8.4689,8.9109,0.4315,1.6475,5.3247,0.4315,14.741200000000001,0.0,5.444100000000001,8.570799999999998,1.4610999999999998,3.2013000000000003,41.0005,0.0,10.3475,0.22030000000000002,0.0,1.768
4.852399999999999,9.0907,3.4377,3.4377,0.0,4.1918,10.664100000000001,6.6911000000000005,5.756,6.6911000000000005,5.442699999999999,3.4518,2.1782,3.8574,3.4518,8.953,3.4377,2.3884000000000003,5.102600000000001,3.3599,1.6573,43.2663,3.4377,6.8793,3.6462,3.4377,2.378
8.5456,12.7839,1.2257,1.2257,3.4461999999999997,0.0,12.5111,7.7585,3.4833000000000003,7.7585,9.1359,1.6708,1.8380999999999998,4.6144,1.6708,15.3995,1.2257,5.418699999999999,8.7958,0.7507999999999999,3.6361999999999997,41.6589,1.2257,10.5725,1.5081,1.2257,1.9585
13.0851,14.6134,9.9962,9.9962,10.514899999999999,10.081,0.0,17.3402,12.9773,17.3402,13.6754,9.8774,10.052700000000002,13.430299999999999,9.8774,13.000399999999999,9.9962,11.6024,14.365,10.2447,9.4665,44.4688,9.9962,15.112,10.2786,9.9962,9.754299999999999
5.6353,5.958699999999999,9.299700000000001,9.299700000000001,7.5992,9.3844,16.827599999999997,0.0,8.332799999999999,0.0,5.2637,9.9274,7.534,5.028899999999999,9.9274,7.768,9.299700000000001,5.421,6.6037,8.0353,9.3919,68.3011,9.299700000000001,3.7473,9.582,9.299700000000001,8.7062
9.2705,12.504299999999999,3.2585,3.2585,4.935899999999999,3.3433,14.543899999999999,7.1342,0.0,7.1342,9.8608,3.7036,3.8709000000000002,2.9825999999999997,3.7036,14.313600000000001,3.2585,4.791300000000001,9.520700000000001,1.9942,5.669,43.6917,3.2585,10.2929,3.5409,3.2585,3.9913000000000003
5.6353,5.958699999999999,9.299700000000001,9.299700000000001,7.5992,9.3844,16.827599999999997,0.0,8.332799999999999,0.0,5.2637,9.9274,7.534,5.028899999999999,9.9274,7.768,9.299700000000001,5.421,6.6037,8.0353,9.3919,68.3011,9.299700000000001,3.7473,9.582,9.299700000000001,8.7062
1.3296,3.9661999999999997,8.3125,8.3125,5.2798,9.0665,14.914399999999999,6.1795,13.5767,6.1795,0.0,8.326600000000001,7.4332,10.2727,8.326600000000001,3.2586,8.3125,4.5648,1.6060999999999999,9.2302,6.6136,47.3217,8.3125,2.5717,8.521,8.3125,7.252800000000001
8.2946,12.533,0.2921,0.2921,3.4209,0.8856,11.870299999999999,8.9761,5.272600000000001,8.9761,8.8849,0.0,1.8127,5.831899999999999,0.0,14.758700000000001,0.2921,5.6093,8.544799999999999,1.9683,3.1753,41.018,0.2921,10.3215,0.19440000000000002,0.2921,1.9332
7.0892,11.3275,1.7092,1.7092,2.1173,1.7,12.39,8.2659,5.3595,8.2659,7.6795,1.7233,0.0,5.3054,1.7233,11.1899,1.7092,4.0459000000000005,7.3393999999999995,2.6269,2.1798,41.537800000000004,1.7092,9.116100000000001,1.9177,1.7092,0.1765
6.8919,10.326600000000001,5.4033999999999995,5.4033999999999995,4.2947,5.4881,14.547799999999999,4.9565,3.658,4.9565,7.4822,5.8484,5.1897,0.0,5.8484,12.1359,5.4033999999999995,2.8283,7.1421,4.139,5.952,45.8365,5.4033999999999995,8.1152,5.6857,5.4033999999999995,5.3102
8.2946,12.533,0.2921,0.2921,3.4209,0.8856,11.870299999999999,8.9761,5.272600000000001,8.9761,8.8849,0.0,1.8127,5.831899999999999,0.0,14.758700000000001,0.2921,5.6093,8.544799999999999,1.9683,3.1753,41.018,0.2921,10.3215,0.19440000000000002,0.2921,1.9332
5.102,4.1661,13.744299999999999,13.744299999999999,10.9305,13.8291,12.8845,8.2053,15.6024,8.2053,4.3797,13.6255,13.8007,12.2985,13.6255,0.0,13.744299999999999,10.2156,4.1552,13.992799999999999,10.297,48.2169,13.744299999999999,5.0729,14.0267,13.744299999999999,13.5024
8.3206,12.5589,0.0,0.0,3.2557,0.7102999999999999,11.852799999999998,8.4689,5.2984,8.4689,8.9109,0.4315,1.6475,5.3247,0.4315,14.741200000000001,0.0,5.444100000000001,8.570799999999998,1.4610999999999998,3.2013000000000003,41.0005,0.0,10.3475,0.22030000000000002,0.0,1.768
5.0428999999999995,9.2813,4.8464,4.8464,2.3904,4.9312,12.6434,4.8278,5.39,4.8278,5.6331999999999995,5.4756,3.3644000000000003,2.0861,5.4756,9.143600000000001,4.8464,0.0,5.293100000000001,4.267,4.0477,45.290099999999995,4.8464,7.0698,5.1288,4.8464,4.2543999999999995
1.9746,4.6878,7.8907,7.8907,4.858,8.6447,14.5634,7.022600000000001,9.533,7.022600000000001,1.7455999999999998,7.9048,7.0114,6.229100000000001,7.9048,3.9658,7.8907,4.143,0.0,8.8085,6.1918,46.8999,7.8907,4.7945,8.0992,7.8907,6.831
8.736799999999999,12.975100000000001,1.4578,1.4578,3.3858,1.5426,12.7432,7.2569,4.4994,7.2569,9.3271,1.9029,2.0701,4.1128,1.9029,15.6316,1.4578,5.160399999999999,8.987,0.0,3.8683,41.8909,1.4578,10.7637,1.7402,1.4578,2.1906
6.2794,10.517700000000001,2.7946,2.7946,1.9643,3.3632,10.472,10.5344,6.259399999999999,10.5344,6.8697,2.8087,1.9153,4.9722,2.8087,10.3801,2.7946,4.5921,6.5296,3.5269,0.0,41.0907,2.7946,8.306299999999998,3.003,2.7946,1.7349
46.9051,51.1434,42.156400000000005,42.156400000000005,43.578900000000004,42.2412,44.7317,67.6731,45.1374,67.6731,47.495400000000004,42.0376,42.2128,65.68060000000001,42.0376,49.729699999999994,42.156400000000005,45.4223,47.155300000000004,42.404900000000005,41.9191,0.0,42.156400000000005,48.932,42.4388,42.156400000000005,41.9145
8.3206,12.5589,0.0,0.0,3.2557,0.7102999999999999,11.852799999999998,8.4689,5.2984,8.4689,8.9109,0.4315,1.6475,5.3247,0.4315,14.741200000000001,0.0,5.444100000000001,8.570799999999998,1.4610999999999998,3.2013000000000003,41.0005,0.0,10.3475,0.22030000000000002,0.0,1.768
2.9095999999999997,3.1409000000000002,10.252,10.252,7.2193000000000005,11.006,15.9888,3.7908000000000004,11.187899999999999,3.7908000000000004,2.5381,10.2661,9.3727,7.884,10.2661,4.9502,10.252,6.5043,3.8781,11.169799999999999,8.5531,49.261199999999995,10.252,0.0,10.4605,10.252,9.1923
8.325899999999999,12.564200000000001,0.3949,0.3949,3.2265,0.6584,11.969299999999999,8.417,5.2693,8.417,8.9161,0.5519,1.6182999999999998,5.2728,0.5519,14.857700000000001,0.3949,5.414899999999999,8.576,1.4092,3.3216,41.1171,0.3949,10.352799999999998,0.0,0.3949,1.7388
8.3206,12.5589,0.0,0.0,3.2557,0.7102999999999999,11.852799999999998,8.4689,5.2984,8.4689,8.9109,0.4315,1.6475,5.3247,0.4315,14.741200000000001,0.0,5.444100000000001,8.570799999999998,1.4610999999999998,3.2013000000000003,41.0005,0.0,10.3475,0.22030000000000002,0.0,1.768
6.9103,11.1486,1.5303,1.5303,2.3365,2.2843,12.2111,8.3895,5.1805,8.3895,7.5005,1.5444,0.21919999999999998,5.4289,1.5444,11.0109,1.5303,4.8262,7.160399999999999,2.448,2.0009,41.3589,1.5303,8.9372,1.7387000000000001,1.5303,0.0
