0,1,2,3,4,5,6,7,8,9
0.0,25.3184,24.9842,4.8466000000000005,3.0503,4.1061000000000005,25.0452,5.3072,4.8466000000000005,3.2113
24.602400000000003,0.0,0.3342,24.3413,27.3415,25.2991,0.4392,24.2673,24.3413,23.0232
24.2682,0.3342,0.0,24.007099999999998,27.0073,24.9649,0.1444,23.9331,24.007099999999998,22.689
4.6723,24.3607,24.0265,0.0,6.5583,1.2578,24.0875,1.3264,0.0,1.5702
3.2531,27.4247,27.0905,6.4464,0.0,5.7059,27.1515,6.907,6.4464,5.293399999999999
4.1618,25.328599999999998,24.994400000000002,1.2525,6.047899999999999,0.0,25.055400000000002,1.3907,1.2525,2.0362999999999998
24.3293,0.4392,0.1444,24.068099999999998,27.0683,25.0259,0.0,23.9941,24.068099999999998,22.75
5.504,24.2967,23.9625,1.3364,7.3901,1.401,24.0235,0.0,1.3364,2.0450999999999997
4.6723,24.3607,24.0265,0.0,6.5583,1.2578,24.0875,1.3264,0.0,1.5702
3.6929000000000003,23.113,22.7788,1.5643,5.5462,2.5126999999999997,22.8398,3.3061,1.5643,0.0
