date,region,Center_ID,Client_ID,ordered_boxes,Latitude_CD,Longitude_CD,Latitude_Client,Longitude_Client,ordered_volume
2025-03-29,Andes,AV16,10824750,5.0,4.802644,-75.832822,5.044048,-75.512874,0.378
2025-03-29,Andes,AV16,13017732,0.25,4.802644,-75.832822,4.872999743,-75.62902221,0.0189
2025-03-29,Andes,AV16,12498845,4.6033333,4.802644,-75.832822,4.79721,-75.7328,0.34801199748
2025-03-29,Andes,AV16,12167252,4.0666666,4.802644,-75.832822,4.8052478,-75.7308088,0.3074399949599999
2025-03-29,Andes,AV16,14163146,2.0866667,4.802644,-75.832822,5.04463636,-75.51735808,0.15775200252
2025-03-29,Andes,AV16,10828015,18.8333333,4.802644,-75.832822,5.0677,-75.5202,1.42379999748
2025-03-29,Andes,AV16,13767223,11.5,4.802644,-75.832822,4.801418026,-75.70883117,0.8694
2025-03-29,Andes,AV16,12687677,11.8333333,4.802644,-75.832822,4.788241,-75.7251941,0.89459999748
2025-03-29,Andes,AV16,12457087,0.25,4.802644,-75.832822,4.821752009,-75.72485236,0.0189
2025-03-29,Andes,AV16,10828300,8.02,4.802644,-75.832822,5.06642,-75.4957,0.606312
2025-03-29,Andes,AV16,11599566,10.0,4.802644,-75.832822,4.82711,-75.6971,0.756
2025-03-29,Andes,AV16,11363966,6.25,4.802644,-75.832822,4.80485,-75.7317,0.4725
2025-03-29,Andes,AV16,10467430,2.67,4.802644,-75.832822,4.8006139,-75.7180965,0.201852
2025-03-29,Andes,AV16,13866554,8.3333333,4.802644,-75.832822,4.79737,-75.709,0.62999999748
2025-03-29,Andes,AV16,11185470,0.25,4.802644,-75.832822,4.7997398,-75.7603843,0.0189
2025-03-29,Andes,AV16,14056636,8.6033333,4.802644,-75.832822,4.81431841,-75.677655,0.6504119974799999
2025-03-29,Andes,AV16,13448136,2.4166667,4.802644,-75.832822,4.809112033,-75.6832973,0.18270000252
2025-03-29,Andes,AV16,13029691,16.0,4.802644,-75.832822,4.7957153,-75.6948695,1.2096
2025-03-29,Andes,AV16,10825279,2.5833333,4.802644,-75.832822,5.074741,-75.495796,0.19529999748
2025-03-29,Andes,AV16,10463900,4.3333333,4.802644,-75.832822,4.75772,-75.6113,0.3275999974799999
2025-03-29,Andes,AV16,14123528,12.0,4.802644,-75.832822,5.08717151,-75.48891728,0.9072
2025-03-29,Andes,AV16,14127742,3.6666667,4.802644,-75.832822,4.7997049,-75.7311942,0.27720000252
2025-03-29,Andes,AV16,13752853,37.4166666,4.802644,-75.832822,4.810229025,-75.6868618,2.82869999496
2025-03-29,Andes,AV16,12232147,12.3333333,4.802644,-75.832822,4.7947069,-75.6665756,0.93239999748
2025-03-29,Andes,AV16,13387367,40.75,4.802644,-75.832822,5.070191014,-75.51877377,3.0807
2025-03-29,Andes,AV16,11571668,0.25,4.802644,-75.832822,4.8324949,-75.6690873,0.0189
2025-03-29,Andes,AV16,13443531,2.3533333,4.802644,-75.832822,5.075021516,-75.49416571,0.17791199748
2025-03-29,Andes,AV16,11436625,8.0,4.802644,-75.832822,4.7957923,-75.7466427,0.6048
2025-03-29,Andes,AV16,12159880,13.3333333,4.802644,-75.832822,5.0488504,-75.512168,1.00799999748
2025-03-29,Andes,AV16,13937570,6.25,4.802644,-75.832822,4.7917846,-75.668229,0.4725
2025-03-29,Andes,AV16,12685269,0.25,4.802644,-75.832822,4.809595647,-75.68203748,0.0189
2025-03-29,Andes,AV16,14157605,2.3333333,4.802644,-75.832822,4.797159936,-75.73551055,0.17639999748
2025-03-29,Andes,AV16,10937158,649.0,4.802644,-75.832822,4.81333,-75.6981,49.0644
2025-03-29,Andes,AV16,10825252,2.25,4.802644,-75.832822,5.07346,-75.494,0.1701
2025-03-29,Andes,AV16,10422835,0.25,4.802644,-75.832822,4.808,-75.6964,0.0189
2025-03-29,Andes,AV16,12302520,2.4166667,4.802644,-75.832822,4.810000937,-75.68626792,0.18270000252
2025-03-29,Andes,AV16,12725198,8.0,4.802644,-75.832822,5.045823226,-75.51338768,0.6048
2025-03-29,Andes,AV16,13492796,23.0,4.802644,-75.832822,4.8093315,-75.6609889,1.7388
2025-03-29,Andes,AV16,10881367,12.3333333,4.802644,-75.832822,4.7939453,-75.7167397,0.93239999748
2025-03-29,Andes,AV16,14013405,140.0,4.802644,-75.832822,4.8106235,-75.6818366,10.584
2025-03-29,Andes,AV16,11040635,15.8333333,4.802644,-75.832822,4.81304,-75.6882,1.19699999748
2025-03-29,Andes,AV16,11453041,8.3333333,4.802644,-75.832822,4.8128508,-75.6884321,0.62999999748
2025-03-29,Andes,AV16,13824042,12.8333333,4.802644,-75.832822,4.784867161,-75.69904882,0.97019999748
2025-03-29,Andes,AV16,12981951,43.9166666,4.802644,-75.832822,4.79627,-75.6952,3.32009999496
2025-03-29,Andes,AV16,10466322,17.4583334,4.802644,-75.832822,4.79636,-75.694,1.3198500050400002
2025-03-29,Andes,AV16,13171189,0.25,4.802644,-75.832822,4.814045713,-75.71256393,0.0189
2025-03-29,Andes,AV16,10466813,6.0,4.802644,-75.832822,4.80368,-75.7057,0.4536
2025-03-29,Andes,AV16,13988300,10.3333333,4.802644,-75.832822,4.79069496,-75.668545,0.78119999748
2025-03-29,Andes,AV16,10413073,7.0,4.802644,-75.832822,4.78898,-75.7382,0.5292
2025-03-29,Andes,AV16,10829923,2.77,4.802644,-75.832822,5.069131,-75.498002,0.209412
2025-03-29,Andes,AV16,10829987,3.6666666,4.802644,-75.832822,5.07366,-75.4981,0.27719999496
2025-03-29,Andes,AV16,10416731,6.0,4.802644,-75.832822,4.79337,-75.7376,0.4536
2025-03-29,Andes,AV16,11545797,12.3333334,4.802644,-75.832822,5.044048,-75.512874,0.93240000504
2025-03-29,Andes,AV16,13185942,4.4166666,4.802644,-75.832822,5.043007451,-75.50993466,0.33389999496
2025-03-29,Andes,AV16,11680331,0.25,4.802644,-75.832822,5.06219,-75.5198,0.0189
2025-03-29,Andes,AV16,10458691,14.9999999,4.802644,-75.832822,4.8132809,-75.6633759,1.1339999924400002
2025-03-29,Andes,AV16,13114299,2.9166666,4.802644,-75.832822,5.076209778,-75.49554631,0.22049999496
2025-03-29,Andes,AV16,12169201,3.02,4.802644,-75.832822,4.7903398,-75.7369661,0.228312
2025-03-29,Andes,AV16,12150587,4.0,4.802644,-75.832822,4.82535,-75.7100928,0.3024
2025-03-29,Andes,AV16,14127150,9.0000001,4.802644,-75.832822,4.7964406,-75.7105,0.68040000756
2025-03-29,Andes,AV16,14006755,2.6666667,4.802644,-75.832822,4.7860413,-75.72415,0.20160000252
2025-03-29,Andes,AV16,14238014,3.0916667,4.802644,-75.832822,4.804107746,-75.73374582,0.23373000252
2025-03-29,Andes,AV16,14190975,8.0,4.802644,-75.832822,4.8176789,-75.6794528,0.6048
2025-03-29,Andes,AV16,11252914,0.25,4.802644,-75.832822,4.81449,-75.6936,0.0189
2025-03-29,Andes,AV16,12933608,0.25,4.802644,-75.832822,4.82961,-75.6783,0.0189
2025-03-29,Andes,AV16,12531491,0.25,4.802644,-75.832822,5.062115,-75.469812,0.0189
2025-03-29,Andes,AV16,12859086,13.0,4.802644,-75.832822,4.7749927,-75.7101543,0.9828
2025-03-29,Andes,AV16,13995326,0.25,4.802644,-75.832822,5.0572109,-75.4867268,0.0189
2025-03-29,Andes,AV16,13743526,2.97,4.802644,-75.832822,4.798602568,-75.73673679,0.224532
2025-03-29,Andes,AV16,12606012,3.4166667,4.802644,-75.832822,4.801346483,-75.69154478,0.25830000252
2025-03-29,Andes,AV16,11268950,0.25,4.802644,-75.832822,4.81449,-75.6936,0.0189
2025-03-29,Andes,AV16,12245793,0.25,4.802644,-75.832822,4.8475449,-75.6543902,0.0189
2025-03-29,Andes,AV16,12420820,4.02,4.802644,-75.832822,4.81639,-75.6984,0.3039119999999999
2025-03-29,Andes,AV16,11530600,4.0,4.802644,-75.832822,4.8182182,-75.6893438,0.3024
2025-03-29,Andes,AV16,13029434,4.0,4.802644,-75.832822,4.79248,-75.67918851,0.3024
2025-03-29,Andes,AV16,11728479,11.6666667,4.802644,-75.832822,4.79879278,-75.7363033,0.88200000252
2025-03-29,Andes,AV16,13450849,12.9166666,4.802644,-75.832822,4.819580541,-75.71736546,0.97649999496
2025-03-29,Andes,AV16,10456846,0.25,4.802644,-75.832822,4.834169,-75.672602,0.0189
2025-03-29,Andes,AV16,10414023,6.1666667,4.802644,-75.832822,4.8184825,-75.7090703,0.46620000252
2025-03-29,Andes,AV16,10824746,35.6666666,4.802644,-75.832822,5.044048,-75.512874,2.69639999496
2025-03-29,Andes,AV16,13543611,0.25,4.802644,-75.832822,4.813233951,-75.6926655,0.0189
2025-03-29,Andes,AV16,12996762,10.5,4.802644,-75.832822,4.7958165,-75.7083156,0.7938000000000001
2025-03-29,Andes,AV16,12866294,6.3333333,4.802644,-75.832822,4.789880727,-75.70877863,0.4787999974799999
2025-03-29,Andes,AV16,11763662,3.4166667,4.802644,-75.832822,4.7981515,-75.6673362,0.25830000252
2025-03-29,Andes,AV16,12745246,2.4166667,4.802644,-75.832822,4.7851844,-75.6710152,0.18270000252
2025-03-29,Andes,AV16,13768539,36.75,4.802644,-75.832822,4.800472,-75.7081,2.7783
2025-03-29,Andes,AV16,10829579,0.25,4.802644,-75.832822,5.04879,-75.4829,0.0189
2025-03-29,Andes,AV16,13028093,3.6666667,4.802644,-75.832822,5.070545343,-75.49206706,0.27720000252
2025-03-29,Andes,AV16,14190492,2.0,4.802644,-75.832822,4.817937941,-75.70076214,0.1512
2025-03-29,Andes,AV16,12469948,32.5,4.802644,-75.832822,4.807673963,-75.67176052,2.457
2025-03-29,Andes,AV16,12503578,9.0833333,4.802644,-75.832822,4.7950649,-75.7068751,0.68669999748
2025-03-29,Andes,AV16,11127239,3.3333333,4.802644,-75.832822,5.08723,-75.4887,0.25199999748
2025-03-29,Andes,AV16,13799735,0.25,4.802644,-75.832822,4.8123063,-75.7319415,0.0189
2025-03-29,Andes,AV16,14133276,5.0,4.802644,-75.832822,5.0720988,-75.4892054,0.378
2025-03-29,Andes,AV16,10416730,7.5,4.802644,-75.832822,4.792,-75.6796,0.567
2025-03-29,Andes,AV16,13877450,70.0,4.802644,-75.832822,4.815850552,-75.70003657,5.292
2025-03-29,Andes,AV16,11516778,0.7,4.802644,-75.832822,4.81598,-75.6989,0.0529199999999999
2025-03-29,Andes,AV16,13945772,4.0,4.802644,-75.832822,4.81294191,-75.686282,0.3024
2025-03-29,Andes,AV16,14007501,0.25,4.802644,-75.832822,5.05761451,-75.4866222,0.0189
2025-03-29,Andes,AV16,12855464,0.25,4.802644,-75.832822,5.054155537,-75.50763755,0.0189
2025-03-29,Andes,AV16,12284572,9.0,4.802644,-75.832822,4.81569,-75.6882,0.6804
2025-03-29,Andes,AV16,13978467,59.0,4.802644,-75.832822,4.813392,-75.801643,4.4604
2025-03-29,Andes,AV16,13034003,2.3333333,4.802644,-75.832822,4.799280785,-75.66729155,0.17639999748
2025-03-29,Andes,AV16,14196032,1.0833333,4.802644,-75.832822,4.816005738,-75.69841761,0.08189999748
2025-03-29,Andes,AV16,11801490,3.15,4.802644,-75.832822,4.8007086,-75.7126294,0.23814
2025-03-29,Andes,AV16,12446989,4.0,4.802644,-75.832822,4.82621,-75.6963,0.3024
2025-03-29,Andes,AV16,13987857,0.25,4.802644,-75.832822,4.81484,-75.6903,0.0189
2025-03-29,Andes,AV16,10430812,13.0,4.802644,-75.832822,4.80373,-75.7357,0.9828
2025-03-29,Andes,AV16,13184390,4.0,4.802644,-75.832822,5.042319828,-75.52178632,0.3024
2025-03-29,Andes,AV16,11143473,6.6666667,4.802644,-75.832822,4.79538,-75.7337,0.50400000252
2025-03-29,Andes,AV16,10829892,0.25,4.802644,-75.832822,5.0649287,-75.5039466,0.0189
2025-03-29,Andes,AV16,10464599,5.02,4.802644,-75.832822,4.81101,-75.7024,0.3795119999999999
2025-03-29,Andes,AV16,11560920,0.25,4.802644,-75.832822,4.8361346,-75.6683891,0.0189
2025-03-29,Andes,AV16,10828034,41.02,4.802644,-75.832822,5.0385638,-75.5197268,3.101112
2025-03-29,Andes,AV16,13197930,0.25,4.802644,-75.832822,4.81651,-75.71,0.0189
2025-03-29,Andes,AV16,10412486,0.25,4.802644,-75.832822,4.82348,-75.6781,0.0189
2025-03-29,Andes,AV16,10829514,0.25,4.802644,-75.832822,5.05341,-75.4953,0.0189
2025-03-29,Andes,AV16,11730086,0.25,4.802644,-75.832822,5.06747,-75.5115,0.0189
2025-03-29,Andes,AV16,12850811,0.25,4.802644,-75.832822,4.827182333,-75.68017079,0.0189
2025-03-29,Andes,AV16,11247794,4.6666666,4.802644,-75.832822,4.81895,-75.7048,0.35279999496
2025-03-29,Andes,AV16,10464130,9.3333333,4.802644,-75.832822,4.8055701,-75.6678298,0.70559999748
2025-03-29,Andes,AV16,13478950,0.25,4.802644,-75.832822,5.067247856,-75.52276874,0.0189
2025-03-29,Andes,AV16,10416241,18.6666666,4.802644,-75.832822,4.7990018,-75.7547631,1.41119999496
2025-03-29,Andes,AV16,13026104,0.25,4.802644,-75.832822,4.87928,-75.6242,0.0189
2025-03-29,Andes,AV16,10415375,5.2666666,4.802644,-75.832822,4.81333,-75.6603,0.39815999496
2025-03-29,Andes,AV16,12606849,2.25,4.802644,-75.832822,5.044998099,-75.5146692,0.1701
2025-03-29,Andes,AV16,10834864,5.0,4.802644,-75.832822,5.064111,-75.4981974,0.378
2025-03-29,Andes,AV16,10830126,1.0,4.802644,-75.832822,5.07264683,-75.50660049,0.0756
